ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80_84,F_85_89,F_90_94,F_95_99,F_100Plus,F_Unstated,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80_84,M_85_89,M_90_94,M_95_99,M_100Plus,M_Unstated,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80_84,T_85_89,T_90_94,T_95_99,T_100Plus,T_Unstated,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Laikipia,KE031,259102,259440,518542,32385,31814,31925,27195,22501,19068,19335,14944,13084,10920,9081,7714,5466,4505,3756,2378,1422,795,421,237,154,2,33156,32430,33372,29265,21069,18205,17892,15676,13668,11319,9179,7538,5101,4059,3481,1864,1161,586,246,113,57,3,65541,64244,65297,56460,43570,37273,37227,30620,26752,22239,18260,15252,10567,8564,7237,4242,2583,1381,667,350,211,5,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Nakuru,KE032,1084835,1077272,2162107,135314,132242,136219,116178,108930,94315,89498,64480,51924,42614,30965,25376,17059,13295,10321,6772,4247,2667,1247,733,429,10,138017,135252,138271,119280,103326,86502,81279,65698,56047,45618,32047,25322,16781,13259,9725,4863,3169,1630,641,387,127,31,273331,267494,274490,235458,212256,180817,170777,130178,107971,88232,63012,50698,33840,26554,20046,11635,7416,4297,1888,1120,556,41,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Narok,KE033,578805,579042,1157847,93485,98516,88364,60040,53325,43987,38085,22974,20566,16646,11450,9464,7415,4650,4195,2150,1666,864,455,260,244,4,94411,100521,91053,64783,47288,38968,35217,25713,21649,17961,12052,8889,6958,4993,3858,2065,1333,680,326,199,118,7,187896,199037,179417,124823,100613,82955,73302,48687,42215,34607,23502,18353,14373,9643,8053,4215,2999,1544,781,459,362,11,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Kajiado,KE034,560704,557098,1117802,77385,72350,65659,51721,64676,59489,50284,33284,25175,18734,13269,9333,6896,4280,3490,1802,1340,704,394,245,186,8,78943,73245,63973,49647,54143,55664,49549,37290,28158,22305,15555,10289,7031,4441,3302,1596,964,534,244,137,75,13,156328,145595,129632,101368,118819,115153,99833,70574,53333,41039,28824,19622,13927,8721,6792,3398,2304,1238,638,382,261,21,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Kericho,KE035,451008,450741,901749,54221,58524,63327,52834,44718,38165,36896,20073,19070,16654,10352,10711,8043,5885,4401,2517,2165,1305,613,379,152,3,55337,59701,63690,54356,40859,35200,33214,24852,21427,18017,10719,10000,7694,6078,4756,2043,1363,834,315,212,64,10,109558,118225,127017,107190,85577,73365,70110,44925,40497,34671,21071,20711,15737,11963,9157,4560,3528,2139,928,591,216,13,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Bomet,KE036,441379,434287,875666,54709,60050,65402,53909,42957,35152,34198,17259,17586,16009,9360,9696,7191,5578,4470,2860,2208,1440,772,364,207,2,56267,62410,65946,56100,38235,30834,28889,21777,18625,16332,9458,8555,6935,5089,4035,1956,1319,858,348,243,73,3,110976,122460,131348,110009,81192,65986,63087,39036,36211,32341,18818,18251,14126,10667,8505,4816,3527,2298,1120,607,280,5,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Kakamega,KE037,970406,897133,1867539,113559,134555,147002,118406,79144,63950,66096,43063,42651,33453,29797,27417,23048,17267,12321,8419,5278,3276,979,554,156,15,112360,134230,144975,120265,70440,50363,50695,41408,38070,30545,24415,22399,19330,14387,10503,5649,3879,2105,746,306,47,16,225919,268785,291977,238671,149584,114313,116791,84471,80721,63998,54212,49816,42378,31654,22824,14068,9157,5381,1725,860,203,31,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Vihiga,KE038,306323,283678,590001,32583,39257,43978,36461,22193,17859,18485,14471,13716,11408,10723,10600,9798,8137,6180,4297,3177,1909,642,347,98,3,32055,38867,43681,37459,20885,14657,14932,13306,12376,10608,8841,8302,8195,6959,5582,3027,2102,1158,464,169,47,6,64638,78124,87659,73920,43078,32516,33417,27777,26092,22016,19564,18902,17993,15096,11762,7324,5279,3067,1106,516,145,9,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Bungoma,KE039,858389,812146,1670535,110069,126486,133921,106485,74162,59132,57000,35486,34866,26841,22101,21266,16289,11977,8655,5840,3896,2503,848,465,100,1,109105,126822,133033,109337,65615,49457,46615,35762,32035,26584,19025,18428,14478,9746,6750,4028,2841,1629,555,253,41,7,219174,253308,266954,215822,139777,108589,103615,71248,66901,53425,41126,39694,30767,21723,15405,9868,6737,4132,1403,718,141,8,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Busia,KE040,467401,426252,893653,56989,64448,70116,58591,41185,32882,31172,19912,18941,14344,13675,12585,10164,7565,5992,3634,2574,1669,592,259,108,4,56315,62835,68818,58701,35585,25695,24264,19550,17277,12967,10622,9737,7951,5651,4437,2520,1759,1045,349,140,29,5,113304,127283,138934,117292,76770,58577,55436,39462,36218,27311,24297,22322,18115,13216,10429,6154,4333,2714,941,399,137,9,,,,,,,,,,,,,,,,,,,,,,,,
